cas_number,name,english_name,brand,specification,initial_quantity,unit,quantity,price,order_reason,applicant,order_time
1336-21-6,氨水,Ammonium hydroxide,通广精细,500mL,500,mL,1,92.65,running_out,zhaoxinyi,
91053-39-3,硅藻土,Kieselguhr,迈瑞达,500 g,500,g,1,9.5,not_stocked,wangxi,
7647-01-0,盐酸,,蓝戈,500mL,500,mL,1,9.5,running_out,zhaoxinyi,
62-56-6,硫脲,Thiourea,通广精细,500g,500,g,1,84.15,not_stocked,mengjunhong,
67-97-0,维生素D3 ,Vitamin D3,迈瑞达,25g,25,g,1,8050,not_stocked,zhuminghui,
407-25-0,三氟乙酸酐,Trifluoroacetic anhydride,百灵威J&K,100G,100,g,1,7,running_out,mengjunhong,20240715
77-92-9,,Citric acid,通广,,,,1,76.5,running_out,admin,
,变色硅胶,allochroic silicagel,通广,500g,500,g,1,70.3,not_stocked,xuguofeng,
7646-93-7,硫酸氢钾,Potassium hydrogen sulfate,通广,500g,500,g,1,5.12,running_out,zhangcaifang,
6674-22-2,DBU,"1,8-Diazabicyclo[5.4.0]undec-7-ene",毕得,10g,10,g,1,5,running_out,xuguofeng,
49562-28-9,"	2-(4-(4-氯苯甲酰)苯氧基)-2-甲基丙酸异丙酯","	Isopropyl 2-(4-(4-chlorobenzoyl)phenoxy)-2-methylpropanoate",毕得,1g,1,g,1,3.78,not_stocked,gengshihan,
626-17-5,间苯二甲腈,"	1,3-Dicyanobenzene","	毕得",25g,25,g,1,27,running_out,dairongheng,
12125-02-9,氯化铵,Ammonium chloride,乐研,1000g,1000,g,1,27,running_out,xuguofeng,
5339-26-4,4-硝基苯乙基溴,4-Nitrophenethyl bromide,毕得,5g,5,g,1,27,running_out,huotongyu,
394-47-8,,2-Fluorobenzonitrile,毕得,5g,5,g,1,260,not_stocked,dairongheng,
444-29-1,邻碘三氟甲苯, 1-Iodo-2-(trifluoromethyl)benzene,毕得,5g,5,g,1,26.1,running_out,dairongheng,
637-59-2,1-溴-3-苯基丙烷,1-Bromo-3-phenylpropane,毕得,5g,5,g,1,22.5,not_stocked,huotongyu,
2675-89-0,"N,N-二甲基-2-氯乙酰胺 ","2-Chloro-N,N-dimethylacetamide",毕得,5g,5,g,1,22,not_stocked,zhuminghui,
